time,open,high,low,close,Fast High,Fast Low,Fast High Max,Fast Low Max,Slow High,Slow Low,Slow High Max,Slow Low Max,Lower Fast High,Lower Fast Low,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Kijun-Sen line
2025-06-13T10:54:00+02:00,23425,23427,23407,23416,23467.935898381795,23451.286789535974,NaN,NaN,23464.300344714673,23450.322498219655,NaN,NaN,23467.935898381795,23451.286789535974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23415.5
2025-06-13T10:55:00+02:00,23416,23417,23395,23399,23466.39238630962,23449.581129247006,NaN,NaN,23463.971870098598,23449.93831420424,NaN,NaN,23466.39238630962,23449.581129247006,NaN,NaN,NaN,NaN,NaN,NaN,23449.93831420424,23449.93831420424,23415
2025-06-13T10:56:00+02:00,23400,23416,23400,23415,23464.865344300237,23448.078670784977,NaN,NaN,23463.6387321118,23449.591520355596,NaN,NaN,23464.865344300237,23448.078670784977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23415
2025-06-13T10:57:00+02:00,23417,23418,23402,23409,23463.445182351745,23446.682347427857,NaN,NaN,23463.321796472137,23449.26102368646,NaN,NaN,23463.445182351745,23446.682347427857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23415
2025-06-13T10:58:00+02:00,23409,23414,23409,23410,23461.946843492602,23445.54045811186,NaN,NaN,23462.979283996636,23448.981433244193,NaN,NaN,23461.946843492602,23445.54045811186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23415
2025-06-13T10:59:00+02:00,23411,23411,23389,23393,23460.4029997504,23443.82711089635,NaN,NaN,23462.61831674666,23448.564895513333,NaN,NaN,23460.4029997504,23443.82711089635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23415
2025-06-13T11:00:00+02:00,23393,23427,23393,23427,23459.390787636752,23442.28689541464,NaN,NaN,23462.37096732481,23448.179028183382,NaN,NaN,23459.390787636752,23442.28689541464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23415
2025-06-13T11:01:00+02:00,23429,23453,23428,23448,23459.197127405336,23441.853959189953,NaN,NaN,23462.305891162832,23448.038896043217,NaN,NaN,23459.197127405336,23441.853959189953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23415
2025-06-13T11:02:00+02:00,23449,23458,23429,23433,23459.160850817294,23441.464445275105,NaN,NaN,23462.275989140868,23447.906681487362,NaN,NaN,23459.160850817294,23441.464445275105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23415
2025-06-13T11:03:00+02:00,23432,23443,23430,23441,23458.671128065256,23441.117037842527,NaN,NaN,23462.14212810517,23447.78232953259,NaN,NaN,23458.671128065256,23441.117037842527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23415
